setting_name,value_type,mobile_pickup,mobile_delivery,mobile_selfcheckout,mobile_quickpay,mobile_preorder_delivery,mobile_preorder_pickup,autonomous_jwo,autonomous_zippin,kiosk_belly_up,kiosk_order_pay_fulfill,pos_belly_up,pos_order_pay_fulfill,pos_wait_staff
quickpay_refund_failed_description,string,,,,"Hi #{first_name}, we tried to refund your order but there was a problem. We will resolve this shortly.",,,,,,,,,
quickpay_not_collected_display_name,string,,,,,,,,,,,,,
quickpay_not_collected_description,string,,,,,,,,,,,,,
kiosk_queued_display_name,string,,,,,,,,,,You order has been placed!,,,
kiosk_queued_description,string,,,,,,,,,,"Hi #{first_name}, thank you for your order. We will update this page when your order is ready for pickup from #{location_name}.",,,
kiosk_processing_display_name,string,,,,,,,,,You order has been placed!,You order has been placed!,,,
kiosk_processing_description,string,,,,,,,,,"Hi #{first_name}, thank you for your order. We will update this page when your order is ready for pickup from #{location_name}.","Hi #{first_name}, thank you for your order. We will update this page when your order is ready for pickup from #{location_name}.",,,
kiosk_bumped_display_name,string,,,,,,,,,,Ready for pickup!,,,
kiosk_bumped_description,string,,,,,,,,,,"Hi #{first_name}, you order is ready at #{location_name}",,,
kiosk_assigned_display_name,string,,,,,,,,,,,,,
kiosk_assigned_description,string,,,,,,,,,,,,,
kiosk_completed_display_name,string,,,,,,,,,Completed!,Completed!,,,
kiosk_completed_description,string,,,,,,,,,"Hi #{first_name}, your order has been completed successfully.","Hi #{first_name}, your order has been completed successfully.",,,
kiosk_refunded_display_name,string,,,,,,,,,Your order has been refunded.,Your order has been refunded.,,,
kiosk_refunded_description,string,,,,,,,,,"Hi #{first_name}, your order has been successfully refunded.","Hi #{first_name}, your order has been successfully refunded.",,,
kiosk_partially_refunded_display_name,string,,,,,,,,,Partially Refunded,Partially Refunded,,,
kiosk_partially_refunded_description,string,,,,,,,,,"Hi #{first_name}, some items within this order have been refunded.","Hi #{first_name}, some items within this order have been refunded.",,,
kiosk_authorization_failed_display_name,string,,,,,,,,,,,,,
kiosk_authorization_failed_description,string,,,,,,,,,,,,,
kiosk_settlement_failed_display_name,string,,,,,,,,,,,,,
kiosk_settlement_failed_description,string,,,,,,,,,,,,,
kiosk_cancelled_display_name,string,,,,,,,,,Your order has been cancelled.,Your order has been cancelled.,,,
kiosk_cancelled_description,string,,,,,,,,,"Hi #{first_name}, your order has been cancelled.","Hi #{first_name}, your order has been cancelled.",,,
kiosk_delivered_without_alcohol_display_name,string,,,,,,,,,,,,,
kiosk_delivered_without_alcohol_description,string,,,,,,,,,,,,,
kiosk_refund_failed_display_name,string,,,,,,,,,Refund Attempted,Refund Attempted,,,
