account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,onpos,playwrightshorizons,crux,prd,us-east-1,playwrighthorizons,,vn-spa-instance-onpos-playwrightshorizons,up,,v2.18.8-qs
vnon,onstatus,possandbox,mars,qa,us-east-1,possandbox,,vn-spa-instance-onstatus-possandbox-qa,up,,
vnon,onmenumanager,gators,crux,prd,us-east-1,gators,,vn-spa-instance-onmenumanager-gators,up,,v2.19.2
vnon,onstatus,lvballparksuites,levy,prd,us-east-1,vegas,,vn-spa-instance-onstatus-lvballparksuites,up,,v1.3.1
vnon,onrefund,renard,mars,qa,us-east-1,renard,,vn-spa-instance-onrefund-renard-qa,up,,v2.3.0
vnon,oncanopy,stjamestheatre,crux,prd,us-east-1,stjamestheatre,,vn-spa-instance-oncanopy-stjamestheatre,up,,v0.1.0
vnon,onboard,peoriachiefs,lyra,prd,us-east-1,peoriachiefs,,vn-spa-instance-onboard-peoriachiefs,up,,v1.0.2
vnon,oncanopy,buckeyes,lyra,prd,us-east-1,ohiostate,,vn-spa-instance-oncanopy-buckeyes,up,,v0.1.0
vnon,onstatus,spectrumcentersuites,levy,prd,us-east-1,bcats,,vn-spa-instance-onstatus-spectrumcentersuites,up,,v1.3.1
vnon,onmenumanager,hobbycenter,lyra,prd,us-east-1,hobbycenter,,vn-spa-instance-onmenumanager-hobbycenter,up,,v2.19.2
vnon,onrunner,ndcompton,lyra,prd,us-east-1,universityofnotredame,,vn-spa-instance-onrunner-ndcompton,up,,v0.1.1
vnon,onsuitesmanager,fedexfieldsuites,levy,prd,us-east-1,wash,,vn-spa-instance-onsuitesmanager-fedexfieldsuites,up,,v1.7.3
vnon,ondevices,marlins,crux,prd,us-east-1,marlins,,vn-spa-instance-ondevices-marlins,up,,v1.8.4
vnon,onpos,themusiccenterfs,ara,prd,us-east-1,themusiccenter,,vn-spa-instance-onpos-themusiccenterfs,up,,
vnon,onpos,sixflagsga,sixflags,prd,us-east-1,sixflags,,vn-spa-instance-onpos-sixflagsga,up,,v2.15.4-qs
vnon,datanow,hou,lyra,prd,us-east-1,toyotacenter,,vn-spa-instance-datanow-hou,up,,v0.4.1
vnon,onsuitesmanager,georgiadogs,crux,prd,us-east-1,georgiadogs,,vn-spa-instance-onsuitesmanager-georgiadogs,up,,v1.7.3
vnon,onpos,rockymountainvibesfs,ara,prd,us-east-1,rockymountainvibes,,vn-spa-instance-onpos-rockymountainvibesfs,up,,
vnon,ordering,courtsideclub,lyra,prd,us-east-1,universityofarkansas,,vn-spa-instance-ordering-courtsideclub,up,,v1.39.6
vnon,onstatus,tfana,crux,prd,us-east-1,tfana,,vn-spa-instance-onstatus-tfana,up,,v1.3.1
vnon,datanow,hbs,lyra,prd,us-east-1,universityofminnesota,,vn-spa-instance-datanow-hbs,up,,v0.4.1
vnon,onloyalty,lanestadium,crux,prd,us-east-1,virginiatech,,vn-spa-instance-onloyalty-lanestadium,up,,v1.4.5
