account,type,name,ecosystem,env,region,organization,configured_version,stack_name,stack_status,update_behavior,version
vnon,onstatus,ush,universal,prd,us-east-1,ush,,vn-spa-instance-onstatus-ush,up,,v1.1.1
vnon,ondevices,training,lyra,prd,us-east-1,training,,vn-spa-instance-ondevices-training,up,,v1.9.0
vnon,onrunner,snapdragonstadium,ara,prd,us-east-1,sandiegostate,,vn-spa-instance-onrunner-snapdragonstadium,up,,v0.0.7
vnon,datanow,pebblebeach,ara,prd,us-east-1,pebblebeachcompany,,vn-spa-instance-datanow-pebblebeach,up,,v1.1.0
vnon,ondevices,switchbacks,ara,prd,us-east-1,switchbacks,,vn-spa-instance-ondevices-switchbacks,up,,v1.9.0
vnon,onpos,gra,use1a,production,us-east-1,gra,,vn-spa-instance-onpos-gra,up,,
vnon,onmenumanager,mizbbsuites,levy,prd,us-east-1,mizbb,,vn-spa-instance-onmenumanager-mizbbsuites,up,,v2.22.8
vnon,datanow,byuconcessionsmp,ara,prd,us-east-1,byu,,vn-spa-instance-datanow-byuconcessionsmp,up,,v1.1.0
vnon,onsuitesmanager,kohlcentersuites,levy,prd,us-east-1,uwmbb,,vn-spa-instance-onsuitesmanager-kohlcentersuites,up,,v1.7.7
vnon,ordering,badgers,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-ordering-badgers,up,,v1.45.0
vnon,onstatus,marsgrill,crux,prd,us-east-1,marsgrill,,vn-spa-instance-onstatus-marsgrill,up,,v2.3.0
vnon,onsuitesmanager,razorbackconcessions,lyra,prd,us-east-1,universityofarkansas,,vn-spa-instance-onsuitesmanager-razorbackconcessions,up,,v1.7.7
vnon,onsuitesmanager,byuconcessionssf,ara,prd,us-east-1,byu,,vn-spa-instance-onsuitesmanager-byuconcessionssf,up,,v1.7.7
vnon,onrefund,vnsupportsandbox,mars,qa,us-east-1,vnsupportsandbox,,vn-spa-instance-onrefund-vnsupportsandbox-qa,up,,v2.4.6
vnon,onstatus,berkeleysports,ara,prd,us-east-1,berkeley,,vn-spa-instance-onstatus-berkeleysports,up,,v2.3.0
vnon,onboard,choctawstadium,lyra,prd,us-east-1,choctawstadium,,vn-spa-instance-onboard-choctawstadium,up,,v1.0.2
vnon,onrefund,staplescentersuites,levy,prd,us-east-1,lasc,,vn-spa-instance-onrefund-staplescentersuites,up,,v2.4.11
vnon,ordering,roguespoon,compass,production,us-east-1,amazon,,vn-spa-instance-ordering-roguespoon,up,,
vnon,oncanopy,mizousuites,levy,prd,us-east-1,mizou,,vn-spa-instance-oncanopy-mizousuites,up,,v0.1.0
vnon,ondevices,isusuites,levy,prd,us-east-1,isu,,vn-spa-instance-ondevices-isusuites,up,,v1.9.0
vnon,ordering,utahjazz,usw2a,production,us-east-1,utahjazz,,vn-spa-instance-ordering-utahjazz,up,,v0.7.4
vnon,onstatus,seatgeektix,crux,prd,us-east-1,seatgeek,,vn-spa-instance-onstatus-seatgeektix,up,,v2.3.0
vnon,ordering,charlestonbattery,crux,prd,us-east-1,charlestonbattery,,vn-spa-instance-ordering-charlestonbattery,up,,v1.45.0
vnon,ordering,englishfield,crux,prd,us-east-1,virginiatech,,vn-spa-instance-ordering-englishfield,up,,v1.45.0
vnon,onmenumanager,augustwilson,crux,prd,us-east-1,augustwilson,,vn-spa-instance-onmenumanager-augustwilson,up,,v2.22.8
vnon,onpos,attcentersuites,levy,prd,us-east-1,spurs,,vn-spa-instance-onpos-attcentersuites,up,,v1.19.8-ec
vnon,onpos,uridge,lyra,prd,us-east-1,wisconsinbadgers,,vn-spa-instance-onpos-uridge,up,,v2.25.11-qs
vnon,onrunner,barclayssuites,levy,prd,us-east-1,brook,,vn-spa-instance-onrunner-barclayssuites,up,,v0.1.1
vnon,oncanopy,bankerslifesuites,levy,prd,us-east-1,indy,,vn-spa-instance-oncanopy-bankerslifesuites,up,,v0.1.0
vnon,onstatus,tms,lyra,prd,us-east-1,tms,,vn-spa-instance-onstatus-tms,up,,v2.3.0
vnon,onboard,nationals,lyra,prd,us-east-1,nationals,,vn-spa-instance-onboard-nationals,up,,v1.0.2
vnon,ondevices,samissions,lyra,prd,us-east-1,samissions,,vn-spa-instance-ondevices-samissions,up,,v1.9.0
vnon,onsuitesmanager,byuconcessionsfs,ara,prd,us-east-1,byu,,vn-spa-instance-onsuitesmanager-byuconcessionsfs,up,,v1.7.7
vnon,ordering,citycenter,crux,prd,us-east-1,citycenter,,vn-spa-instance-ordering-citycenter,up,,v1.45.0
vnon,onloyalty,dhspemployee,ara,prd,us-east-1,dhsp,,vn-spa-instance-onloyalty-dhspemployee,up,,v1.9.0
vnon,onboard,searscentre,lyra,prd,us-east-1,searscentre,,vn-spa-instance-onboard-searscentre,up,,
vnon,datanow,doi35,crux,prd,us-east-1,disneyonice,,vn-spa-instance-datanow-doi35,up,,v1.1.0
vnon,onmenumanager,mizousuites,levy,prd,us-east-1,mizou,,vn-spa-instance-onmenumanager-mizousuites,up,,v2.22.8
vnon,onstatus,targetcentersuites,levy,prd,us-east-1,twolv,,vn-spa-instance-onstatus-targetcentersuites,up,,v1.3.1
vnon,datanow,daytonasuites,levy,prd,us-east-1,dis,,vn-spa-instance-datanow-daytonasuites,up,,
vnon,onmenumanager,columbuscrew,lyra,prd,us-east-1,columbuscrew,,vn-spa-instance-onmenumanager-columbuscrew,up,,v2.22.8
vnon,onsuitesmanager,xcelsuites,levy,prd,us-east-1,wild,,vn-spa-instance-onsuitesmanager-xcelsuites,up,,v1.7.7
vnon,datanow,detroitlions,use1a,production,us-east-1,fordfield,,vn-spa-instance-datanow-detroitlions,up,,
vnon,oncanopy,bswa,crux,prd,us-east-1,bswa,,vn-spa-instance-oncanopy-bswa,up,,v0.1.0
vnon,datanow,training,lyra,prd,us-east-1,training,,vn-spa-instance-datanow-training,up,,v1.1.0
vnon,onpos,dcusb,crux,prd,us-east-1,dcuni,,vn-spa-instance-onpos-dcusb,up,,v2.25.11-qs
vnon,onsuitesmanager,saengertheatre,crux,prd,us-east-1,baasaengertheatre,,vn-spa-instance-onsuitesmanager-saengertheatre,up,,v1.7.7
vnon,onmenumanager,chsfield,lyra,prd,us-east-1,chsfield,,vn-spa-instance-onmenumanager-chsfield,up,,v2.22.8
vnon,ordering,example,mars,qa,us-east-1,example,,vn-spa-instance-ordering-example-qa,up,,v1.45.0
